[2016-04-19 16:46:17,672][INFO][dotted-line.core] #'dotted-line.core/repl-server started
[2016-04-19 16:46:17,674][INFO][dotted-line.env] 
-=[dotted-line started successfully using the development profile]=-
[2016-04-19 16:48:49,890][INFO][luminus.repl-server] nREPL server stopped
[2016-04-19 16:48:49,893][DEBUG][org.projectodd.wunderboss.WunderBoss] Returning existing component for org.projectodd.wunderboss.web.Web:-1645144552, ignoring options.
[2016-04-19 16:48:49,912][INFO][luminus.http-server] HTTP server stopped
[2016-04-19 16:48:49,914][INFO][com.zaxxer.hikari.pool.HikariPool] HikariPool-0 - is closing down.
[2016-04-19 16:48:49,920][INFO][dotted-line.core] #'dotted-line.core/repl-server stopped
[2016-04-19 16:48:49,921][INFO][dotted-line.core] #'dotted-line.core/http-server stopped
[2016-04-19 16:48:49,921][INFO][dotted-line.core] #'dotted-line.db.core/*db* stopped
[2016-04-21 11:47:16,181][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-21 11:47:17,574][INFO][com.zaxxer.hikari.HikariDataSource] HikariPool-0 - is starting.
[2016-04-21 11:47:18,602][INFO][luminus.http-server] starting HTTP server on port 3000
[2016-04-21 11:47:18,788][INFO][org.xnio] XNIO version 3.4.0.Beta1
[2016-04-21 11:47:19,137][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
[2016-04-21 11:47:19,366][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
[2016-04-21 11:47:19,369][INFO][luminus.repl-server] starting nREPL server on port 7000
[2016-04-21 11:47:19,408][INFO][dotted-line.core] #'dotted-line.config/env started
[2016-04-21 11:47:19,408][INFO][dotted-line.core] #'dotted-line.db.core/*db* started
[2016-04-21 11:47:19,408][INFO][dotted-line.core] #'dotted-line.core/http-server started
[2016-04-21 11:47:19,409][INFO][dotted-line.core] #'dotted-line.core/repl-server started
[2016-04-21 11:47:19,410][INFO][dotted-line.env] 
-=[dotted-line started successfully using the development profile]=-
[2016-04-21 12:03:16,848][INFO][com.zaxxer.hikari.pool.HikariPool] HikariPool-0 - is closing down.
[2016-04-21 12:03:16,861][INFO][dotted-line.core] #'dotted-line.db.core/*db* stopped
[2016-04-21 12:03:48,040][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-21 12:03:49,639][INFO][com.zaxxer.hikari.HikariDataSource] HikariPool-0 - is starting.
[2016-04-21 12:03:50,411][INFO][luminus.http-server] starting HTTP server on port 3000
[2016-04-21 12:03:50,515][INFO][org.xnio] XNIO version 3.4.0.Beta1
[2016-04-21 12:03:50,687][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
[2016-04-21 12:03:50,835][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
[2016-04-21 12:03:50,846][INFO][luminus.repl-server] starting nREPL server on port 7000
[2016-04-21 12:03:50,877][INFO][dotted-line.core] #'dotted-line.config/env started
[2016-04-21 12:03:50,877][INFO][dotted-line.core] #'dotted-line.db.core/*db* started
[2016-04-21 12:03:50,877][INFO][dotted-line.core] #'dotted-line.core/http-server started
[2016-04-21 12:03:50,878][INFO][dotted-line.core] #'dotted-line.core/repl-server started
[2016-04-21 12:03:50,878][INFO][dotted-line.env] 
-=[dotted-line started successfully using the development profile]=-
[2016-04-21 12:07:44,214][INFO][com.zaxxer.hikari.pool.HikariPool] HikariPool-0 - is closing down.
[2016-04-21 12:07:44,226][INFO][dotted-line.core] #'dotted-line.db.core/*db* stopped
[2016-04-21 12:44:40,330][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-21 12:44:41,748][INFO][com.zaxxer.hikari.HikariDataSource] HikariPool-0 - is starting.
[2016-04-21 12:44:42,358][INFO][luminus.http-server] starting HTTP server on port 3000
[2016-04-21 12:44:42,447][INFO][org.xnio] XNIO version 3.4.0.Beta1
[2016-04-21 12:44:42,605][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
[2016-04-21 12:44:42,747][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
[2016-04-21 12:44:42,749][INFO][luminus.repl-server] starting nREPL server on port 7000
[2016-04-21 12:44:42,783][INFO][dotted-line.core] #'dotted-line.config/env started
